Date, Username, Create/Authentication, PasswordFor, Action
2020-04-05 20:56:22,User_6860157,Create,Email,Generate
2020-04-05 20:57:41,User_6860157,Create,Email,Generate
2020-04-05 20:57:45,User_6860157,Create,Email,Generate
2020-04-05 20:57:49,User_6860157,Create,Email,Generate
2020-04-05 20:58:02,User_6860157,Create,Email,Failure
2020-04-05 20:58:05,User_6860157,Create,Email,Failure
2020-04-05 20:58:07,User_6860157,Create,Email,Failure
2020-04-05 20:58:08,User_6860157,Create,Email,Failure
2020-04-05 20:58:10,User_6860157,Create,Email,Failure
2020-04-05 20:58:13,User_6860157,Create,Email,Failure
2020-04-05 20:58:14,User_6860157,Create,Email,Failure
2020-04-05 20:58:15,User_6860157,Create,Email,Failure
2020-04-05 20:58:19,User_6860157,Create,Email,Failure
2020-04-05 20:58:24,User_6860157,Create,Email,Failure
2020-04-05 20:58:25,User_6860157,Create,Email,Failure
2020-04-05 20:58:27,User_6860157,Create,Email,Failure
2020-04-05 20:58:32,User_6860157,Create,Email,Failure
2020-04-05 20:58:35,User_6860157,Create,Email,Failure
2020-04-05 20:58:37,User_6860157,Create,Email,Success
2020-04-05 20:58:41,User_6860157,Create,Banking,Generate
2020-04-05 20:58:51,User_6860157,Create,Banking,Failure
2020-04-05 20:58:52,User_6860157,Create,Banking,Generate
2020-04-05 20:58:53,User_6860157,Create,Banking,Generate
2020-04-05 20:58:57,User_6860157,Create,Banking,Generate
2020-04-05 20:58:59,User_6860157,Create,Banking,Generate
2020-04-05 20:59:00,User_6860157,Create,Banking,Generate
2020-04-05 20:59:05,User_6860157,Create,Banking,Generate
2020-04-05 20:59:08,User_6860157,Create,Banking,Failure
2020-04-05 20:59:12,User_6860157,Create,Banking,Success
2020-04-05 20:59:33,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:34,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:35,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:36,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:37,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:41,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:42,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:43,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:45,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:46,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:48,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:48,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:54,User_6860157,Create,Shopping,Failure
2020-04-05 20:59:58,User_6860157,Create,Shopping,Success
2020-04-05 21:0:13,User_6860157,Authentication,Banking,Failure
2020-04-05 21:0:34,User_6860157,Authentication,Banking,Success
2020-04-05 21:0:39,User_6860157,Authentication,Email,Failure
2020-04-05 21:0:50,User_6860157,Authentication,Email,Success
2020-04-05 21:1:04,User_6860157,Authentication,Shopping,Failure
2020-04-05 21:1:06,User_6860157,Authentication,Shopping,Failure
2020-04-05 21:1:10,User_6860157,Authentication,Shopping,Failure
2020-04-05 21:13:37,User_1100697,Create,Email,Generate
2020-04-05 21:14:22,User_1100697,Create,Email,Failure
2020-04-05 21:14:33,User_1100697,Create,Email,Failure
2020-04-05 21:14:34,User_1100697,Create,Email,Failure
2020-04-05 21:14:36,User_1100697,Create,Email,Failure
2020-04-05 21:14:41,User_1100697,Create,Email,Failure
2020-04-05 21:14:43,User_1100697,Create,Email,Failure
2020-04-05 21:14:47,User_1100697,Create,Email,Success
2020-04-05 21:14:52,User_1100697,Create,Email,Generate
2020-04-05 21:14:53,User_1100697,Create,Email,Generate
2020-04-05 21:14:53,User_1100697,Create,Email,Generate
2020-04-05 21:14:54,User_1100697,Create,Email,Generate
2020-04-05 21:14:55,User_1100697,Create,Email,Generate
2020-04-05 21:14:55,User_1100697,Create,Email,Generate
2020-04-05 21:15:11,User_1100697,Create,Email,Failure
2020-04-05 21:15:13,User_1100697,Create,Email,Failure
2020-04-05 21:15:17,User_1100697,Create,Email,Failure
2020-04-05 21:15:20,User_1100697,Create,Email,Success
2020-04-05 21:15:25,User_1100697,Create,Banking,Generate
2020-04-05 21:15:35,User_1100697,Create,Banking,Failure
2020-04-05 21:15:37,User_1100697,Create,Banking,Failure
2020-04-05 21:15:42,User_1100697,Create,Banking,Success
2020-04-05 21:15:55,User_1100697,Create,Banking,Failure
2020-04-05 21:15:58,User_1100697,Create,Banking,Failure
2020-04-05 21:16:01,User_1100697,Create,Banking,Failure
2020-04-05 21:16:09,User_1100697,Create,Banking,Failure
2020-04-05 21:16:10,User_1100697,Create,Banking,Failure
2020-04-05 21:16:15,User_1100697,Create,Banking,Success
2020-04-05 21:16:17,User_1100697,Create,Shopping,Generate
2020-04-05 21:16:29,User_1100697,Create,Shopping,Success
2020-04-05 21:16:49,User_1100697,Authentication,Email,Failure
2020-04-05 21:16:51,User_1100697,Authentication,Email,Failure
2020-04-05 21:16:53,User_1100697,Authentication,Email,Failure
2020-04-05 21:17:08,User_1100697,Authentication,Shopping,Failure
2020-04-05 21:17:57,User_1100697,Authentication,Shopping,Failure
2020-04-05 21:18:00,User_1100697,Authentication,Shopping,Failure
2020-04-05 21:18:09,User_1100697,Authentication,Banking,Success
2020-04-05 21:24:51,User_5133378,Create,Email,Generate
2020-04-05 21:25:18,User_5133378,Create,Email,Failure
2020-04-05 21:25:22,User_5133378,Create,Email,Failure
2020-04-05 21:25:26,User_5133378,Create,Email,Failure
2020-04-05 21:25:27,User_5133378,Create,Email,Failure
2020-04-05 21:25:30,User_5133378,Create,Email,Failure
2020-04-05 21:25:35,User_5133378,Create,Email,Failure
2020-04-05 21:25:49,User_5133378,Create,Email,Failure
2020-04-05 21:25:54,User_5133378,Create,Email,Failure
2020-04-05 21:26:04,User_5133378,Create,Email,Success
2020-04-05 21:26:08,User_5133378,Create,Email,Failure
2020-04-05 21:26:10,User_5133378,Create,Email,Failure
2020-04-05 21:26:11,User_5133378,Create,Email,Failure
2020-04-05 21:26:14,User_5133378,Create,Email,Failure
2020-04-05 21:26:16,User_5133378,Create,Email,Failure
2020-04-05 21:26:20,User_5133378,Create,Email,Failure
2020-04-05 21:26:24,User_5133378,Create,Email,Generate
2020-04-05 21:26:25,User_5133378,Create,Email,Generate
2020-04-05 21:26:32,User_5133378,Create,Email,Failure
2020-04-05 21:27:06,User_5133378,Create,Email,Success
2020-04-05 21:27:07,User_5133378,Create,Banking,Generate
2020-04-05 21:27:30,User_5133378,Create,Banking,Success
2020-04-05 21:27:32,User_5133378,Create,Shopping,Generate
2020-04-05 21:27:52,User_5133378,Create,Shopping,Failure
2020-04-05 21:27:53,User_5133378,Create,Shopping,Failure
2020-04-05 21:27:58,User_5133378,Create,Shopping,Failure
2020-04-05 21:27:59,User_5133378,Create,Shopping,Generate
2020-04-05 21:28:01,User_5133378,Create,Shopping,Generate
2020-04-05 21:28:14,User_5133378,Create,Shopping,Failure
2020-04-05 21:28:25,User_5133378,Create,Shopping,Success
2020-04-05 21:29:18,User_5133378,Authentication,Banking,Success
2020-04-05 21:29:36,User_5133378,Authentication,Email,Success
2020-04-05 21:29:52,User_5133378,Authentication,Shopping,Success
2020-04-05 21:45:42,User_3121983,Create,Email,Generate
2020-04-05 21:46:38,User_3121983,Create,Email,Generate
2020-04-05 21:46:48,User_3121983,Create,Email,Failure
2020-04-05 21:46:52,User_3121983,Create,Email,Failure
2020-04-05 21:46:54,User_3121983,Create,Email,Failure
2020-04-05 21:47:04,User_3121983,Create,Email,Failure
2020-04-05 21:47:14,User_3121983,Create,Email,Failure
2020-04-05 21:47:15,User_3121983,Create,Email,Failure
2020-04-05 21:47:24,User_3121983,Create,Email,Success
2020-04-05 21:47:43,User_3121983,Create,Banking,Generate
2020-04-05 21:47:46,User_3121983,Create,Banking,Generate
2020-04-05 21:47:47,User_3121983,Create,Banking,Generate
2020-04-05 21:47:47,User_3121983,Create,Banking,Generate
2020-04-05 21:47:48,User_3121983,Create,Banking,Generate
2020-04-05 21:48:07,User_3121983,Create,Banking,Success
2020-04-05 21:48:15,User_3121983,Create,Shopping,Generate
2020-04-05 21:48:17,User_3121983,Create,Shopping,Generate
2020-04-05 21:48:17,User_3121983,Create,Shopping,Generate
2020-04-05 21:48:18,User_3121983,Create,Shopping,Generate
2020-04-05 21:48:19,User_3121983,Create,Shopping,Generate
2020-04-05 21:48:19,User_3121983,Create,Shopping,Generate
2020-04-05 21:48:35,User_3121983,Create,Shopping,Success
2020-04-05 21:48:50,User_3121983,Authentication,Email,Success
2020-04-05 21:48:58,User_3121983,Authentication,Banking,Failure
2020-04-05 21:49:32,User_3121983,Authentication,Banking,Success
2020-04-05 21:49:51,User_3121983,Authentication,Shopping,Failure
2020-04-05 21:49:53,User_3121983,Authentication,Shopping,Failure
2020-04-05 21:49:57,User_3121983,Authentication,Shopping,Failure
2020-04-06 0:52:28,User_166606,Create,Email,Generate
2020-04-06 0:53:35,User_166606,Create,Email,Failure
2020-04-06 0:53:40,User_166606,Create,Email,Failure
2020-04-06 0:53:42,User_166606,Create,Email,Failure
2020-04-06 0:53:45,User_166606,Create,Email,Failure
2020-04-06 0:53:56,User_166606,Create,Email,Failure
2020-04-06 0:54:00,User_166606,Create,Email,Failure
2020-04-06 0:54:01,User_166606,Create,Email,Failure
2020-04-06 0:54:04,User_166606,Create,Email,Failure
2020-04-06 0:54:14,User_166606,Create,Email,Failure
2020-04-06 0:54:14,User_166606,Create,Email,Failure
2020-04-06 0:54:20,User_166606,Create,Email,Failure
2020-04-06 0:54:28,User_166606,Create,Email,Failure
2020-04-06 0:54:33,User_166606,Create,Email,Failure
2020-04-06 0:54:42,User_166606,Create,Email,Failure
2020-04-06 0:54:49,User_166606,Create,Email,Failure
2020-04-06 0:54:56,User_166606,Create,Email,Success
2020-04-06 0:55:04,User_166606,Create,Email,Success
2020-04-06 0:55:08,User_166606,Create,Email,Success
2020-04-06 0:55:12,User_166606,Create,Email,Success
2020-04-06 0:55:24,User_166606,Create,Email,Failure
2020-04-06 0:55:28,User_166606,Create,Email,Failure
2020-04-06 0:55:31,User_166606,Create,Email,Failure
2020-04-06 0:55:34,User_166606,Create,Email,Success
2020-04-06 0:55:56,User_166606,Create,Banking,Generate
2020-04-06 0:56:06,User_166606,Create,Banking,Failure
2020-04-06 0:56:16,User_166606,Create,Banking,Failure
2020-04-06 0:56:18,User_166606,Create,Banking,Generate
2020-04-06 0:56:28,User_166606,Create,Banking,Success
2020-04-06 0:56:32,User_166606,Create,Banking,Failure
2020-04-06 0:56:39,User_166606,Create,Banking,Success
2020-04-06 0:56:41,User_166606,Create,Banking,Failure
2020-04-06 0:56:45,User_166606,Create,Banking,Success
2020-04-06 0:56:54,User_166606,Create,Banking,Failure
2020-04-06 0:57:02,User_166606,Create,Banking,Success
2020-04-06 0:57:09,User_166606,Create,Banking,Success
2020-04-06 0:57:13,User_166606,Create,Shopping,Generate
2020-04-06 0:57:27,User_166606,Create,Shopping,Failure
2020-04-06 0:57:37,User_166606,Create,Shopping,Success
2020-04-06 0:57:41,User_166606,Create,Shopping,Failure
2020-04-06 0:57:50,User_166606,Create,Shopping,Success
2020-04-06 0:57:58,User_166606,Create,Shopping,Success
2020-04-06 0:58:28,User_166606,Authentication,Email,Success
2020-04-06 0:59:05,User_166606,Authentication,Shopping,Success
2020-04-06 0:59:27,User_166606,Authentication,Banking,Success
2020-04-06 18:30:27,User_5513682,Create,Email,Generate
2020-04-06 18:30:46,User_5513682,Create,Email,Success
2020-04-06 18:30:48,User_5513682,Create,Email,Failure
2020-04-06 18:30:50,User_5513682,Create,Email,Failure
2020-04-06 18:30:53,User_5513682,Create,Email,Failure
2020-04-06 18:30:58,User_5513682,Create,Email,Failure
2020-04-06 18:31:03,User_5513682,Create,Email,Success
2020-04-06 18:31:10,User_5513682,Create,Email,Success
2020-04-06 18:31:21,User_5513682,Create,Email,Success
2020-04-06 18:31:22,User_5513682,Create,Banking,Generate
2020-04-06 18:31:29,User_5513682,Create,Banking,Failure
2020-04-06 18:31:33,User_5513682,Create,Banking,Failure
2020-04-06 18:31:38,User_5513682,Create,Banking,Success
2020-04-06 18:31:43,User_5513682,Create,Banking,Failure
2020-04-06 18:31:46,User_5513682,Create,Shopping,Generate
2020-04-06 18:31:53,User_5513682,Create,Shopping,Success
2020-04-06 18:31:59,User_5513682,Authentication,Shopping,Success
2020-04-06 18:32:08,User_5513682,Authentication,Email,Success
2020-04-06 18:32:25,User_5513682,Authentication,Banking,Success
2020-04-06 18:46:01,User_6570547,Create,Email,Generate
2020-04-06 18:46:04,User_6570547,Create,Email,Generate
2020-04-06 18:46:08,User_6570547,Create,Email,Generate
2020-04-06 18:46:21,User_6570547,Create,Email,Failure
2020-04-06 18:46:28,User_6570547,Create,Email,Success
2020-04-06 18:46:36,User_6570547,Create,Email,Success
2020-04-06 18:46:38,User_6570547,Create,Banking,Generate
2020-04-06 18:46:50,User_6570547,Create,Banking,Generate
2020-04-06 18:47:01,User_6570547,Create,Banking,Failure
2020-04-06 18:47:09,User_6570547,Create,Banking,Success
2020-04-06 18:47:21,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:23,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:24,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:32,User_6570547,Create,Shopping,Success
2020-04-06 18:47:38,User_6570547,Create,Shopping,Failure
2020-04-06 18:47:39,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:40,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:41,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:42,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:43,User_6570547,Create,Shopping,Generate
2020-04-06 18:47:49,User_6570547,Create,Shopping,Failure
2020-04-06 18:47:55,User_6570547,Create,Shopping,Success
2020-04-06 18:48:04,User_6570547,Create,Shopping,Success
2020-04-06 18:48:11,User_6570547,Create,Shopping,Success
2020-04-06 18:48:33,User_6570547,Authentication,Shopping,Failure
2020-04-06 18:48:44,User_6570547,Authentication,Shopping,Success
2020-04-06 18:48:59,User_6570547,Authentication,Email,Failure
2020-04-06 18:49:06,User_6570547,Authentication,Email,Failure
2020-04-06 18:49:20,User_6570547,Authentication,Email,Success
2020-04-06 18:49:40,User_6570547,Authentication,Banking,Success
2020-04-06 19:19:49,User_5463250,Create,Email,Generate
2020-04-06 19:19:58,User_5463250,Create,Email,Generate
2020-04-06 19:20:00,User_5463250,Create,Email,Generate
2020-04-06 19:20:02,User_5463250,Create,Email,Generate
2020-04-06 19:20:03,User_5463250,Create,Email,Generate
2020-04-06 19:20:08,User_5463250,Create,Email,Generate
2020-04-06 19:20:09,User_5463250,Create,Email,Generate
2020-04-06 19:20:22,User_5463250,Create,Email,Success
2020-04-06 19:20:30,User_5463250,Create,Email,Failure
2020-04-06 19:20:36,User_5463250,Create,Email,Success
2020-04-06 19:20:39,User_5463250,Create,Banking,Generate
2020-04-06 19:20:52,User_5463250,Create,Banking,Failure
2020-04-06 19:20:57,User_5463250,Create,Banking,Failure
2020-04-06 19:21:09,User_5463250,Create,Banking,Success
2020-04-06 19:21:17,User_5463250,Create,Banking,Failure
2020-04-06 19:21:23,User_5463250,Create,Banking,Failure
2020-04-06 19:21:29,User_5463250,Create,Banking,Failure
2020-04-06 19:21:32,User_5463250,Create,Banking,Failure
2020-04-06 19:21:43,User_5463250,Create,Banking,Success
2020-04-06 19:21:45,User_5463250,Create,Shopping,Generate
2020-04-06 19:21:56,User_5463250,Create,Shopping,Success
2020-04-06 19:22:12,User_5463250,Create,Shopping,Failure
2020-04-06 19:22:24,User_5463250,Create,Shopping,Success
2020-04-06 19:22:43,User_5463250,Authentication,Email,Failure
2020-04-06 19:22:45,User_5463250,Authentication,Email,Failure
2020-04-06 19:22:59,User_5463250,Authentication,Email,Failure
2020-04-06 19:23:07,User_5463250,Authentication,Shopping,Failure
2020-04-06 19:23:13,User_5463250,Authentication,Shopping,Failure
2020-04-06 19:23:35,User_5463250,Authentication,Shopping,Failure
2020-04-06 19:24:51,User_5463250,Authentication,Banking,Failure
2020-04-06 19:25:12,User_5463250,Authentication,Banking,Success
2020-04-06 19:19:49,User_5463250,Create,Email,Generate
2020-04-06 19:19:58,User_5463250,Create,Email,Generate
2020-04-06 19:20:00,User_5463250,Create,Email,Generate
2020-04-06 19:20:02,User_5463250,Create,Email,Generate
2020-04-06 19:20:03,User_5463250,Create,Email,Generate
2020-04-06 19:20:08,User_5463250,Create,Email,Generate
2020-04-06 19:20:09,User_5463250,Create,Email,Generate
2020-04-06 19:20:22,User_5463250,Create,Email,Success
2020-04-06 19:20:30,User_5463250,Create,Email,Failure
2020-04-06 19:20:36,User_5463250,Create,Email,Success
2020-04-06 19:20:39,User_5463250,Create,Banking,Generate
2020-04-06 19:20:52,User_5463250,Create,Banking,Failure
2020-04-06 19:20:57,User_5463250,Create,Banking,Failure
2020-04-06 19:21:09,User_5463250,Create,Banking,Success
2020-04-06 19:21:17,User_5463250,Create,Banking,Failure
2020-04-06 19:21:23,User_5463250,Create,Banking,Failure
2020-04-06 19:21:29,User_5463250,Create,Banking,Failure
2020-04-06 19:21:32,User_5463250,Create,Banking,Failure
2020-04-06 19:21:43,User_5463250,Create,Banking,Success
2020-04-06 19:21:45,User_5463250,Create,Shopping,Generate
2020-04-06 19:21:56,User_5463250,Create,Shopping,Success
2020-04-06 19:22:12,User_5463250,Create,Shopping,Failure
2020-04-06 19:22:24,User_5463250,Create,Shopping,Success
2020-04-06 19:22:43,User_5463250,Authentication,Email,Failure
2020-04-06 19:22:45,User_5463250,Authentication,Email,Failure
2020-04-06 19:22:59,User_5463250,Authentication,Email,Failure
2020-04-06 19:23:07,User_5463250,Authentication,Shopping,Failure
2020-04-06 19:23:13,User_5463250,Authentication,Shopping,Failure
2020-04-06 19:23:35,User_5463250,Authentication,Shopping,Failure
2020-04-06 19:24:51,User_5463250,Authentication,Banking,Failure
2020-04-06 19:25:12,User_5463250,Authentication,Banking,Success
2020-04-06 19:25:26,User_5463250,Authentication,Banking,Success
2020-04-06 20:32:17,User_7154904,Create,Email,Generate
2020-04-06 20:32:22,User_7154904,Create,Email,Failure
2020-04-06 20:32:32,User_7154904,Create,Email,Generate
2020-04-06 20:32:33,User_7154904,Create,Email,Generate
2020-04-06 20:32:34,User_7154904,Create,Email,Generate
2020-04-06 20:32:35,User_7154904,Create,Email,Generate
2020-04-06 20:32:59,User_7154904,Create,Email,Failure
2020-04-06 20:33:09,User_7154904,Create,Email,Failure
2020-04-06 20:33:16,User_7154904,Create,Email,Failure
2020-04-06 20:33:18,User_7154904,Create,Email,Failure
2020-04-06 20:33:20,User_7154904,Create,Email,Failure
2020-04-06 20:33:28,User_7154904,Create,Email,Failure
2020-04-06 20:33:38,User_7154904,Create,Email,Failure
2020-04-06 20:33:39,User_7154904,Create,Email,Failure
2020-04-06 20:33:40,User_7154904,Create,Email,Failure
2020-04-06 20:33:44,User_7154904,Create,Email,Failure
2020-04-06 20:33:49,User_7154904,Create,Email,Generate
2020-04-06 20:33:50,User_7154904,Create,Email,Generate
2020-04-06 20:33:59,User_7154904,Create,Email,Failure
2020-04-06 20:34:00,User_7154904,Create,Email,Failure
2020-04-06 20:34:08,User_7154904,Create,Email,Success
2020-04-06 20:34:16,User_7154904,Create,Email,Failure
2020-04-06 20:34:18,User_7154904,Create,Email,Failure
2020-04-06 20:34:26,User_7154904,Create,Email,Success
2020-04-06 20:34:29,User_7154904,Create,Banking,Generate
2020-04-06 20:34:37,User_7154904,Create,Banking,Generate
2020-04-06 20:34:38,User_7154904,Create,Banking,Generate
2020-04-06 20:34:39,User_7154904,Create,Banking,Generate
2020-04-06 20:34:40,User_7154904,Create,Banking,Generate
2020-04-06 20:34:40,User_7154904,Create,Banking,Generate
2020-04-06 20:34:45,User_7154904,Create,Banking,Generate
2020-04-06 20:34:45,User_7154904,Create,Banking,Generate
2020-04-06 20:34:48,User_7154904,Create,Banking,Generate
2020-04-06 20:34:49,User_7154904,Create,Banking,Generate
2020-04-06 20:34:49,User_7154904,Create,Banking,Generate
2020-04-06 20:34:50,User_7154904,Create,Banking,Generate
2020-04-06 20:34:51,User_7154904,Create,Banking,Generate
2020-04-06 20:34:51,User_7154904,Create,Banking,Generate
2020-04-06 20:34:52,User_7154904,Create,Banking,Generate
2020-04-06 20:35:07,User_7154904,Create,Banking,Failure
2020-04-06 20:35:09,User_7154904,Create,Banking,Failure
2020-04-06 20:35:13,User_7154904,Create,Banking,Failure
2020-04-06 20:35:24,User_7154904,Create,Banking,Failure
2020-04-06 20:35:33,User_7154904,Create,Banking,Failure
2020-04-06 20:35:35,User_7154904,Create,Banking,Generate
2020-04-06 20:35:36,User_7154904,Create,Banking,Generate
2020-04-06 20:35:45,User_7154904,Create,Banking,Failure
2020-04-06 20:35:57,User_7154904,Create,Banking,Failure
2020-04-06 20:36:05,User_7154904,Create,Banking,Failure
2020-04-06 20:36:06,User_7154904,Create,Banking,Failure
2020-04-06 20:36:08,User_7154904,Create,Banking,Failure
2020-04-06 20:36:13,User_7154904,Create,Banking,Failure
2020-04-06 20:36:18,User_7154904,Create,Banking,Failure
2020-04-06 20:36:26,User_7154904,Create,Banking,Failure
2020-04-06 20:36:44,User_7154904,Create,Banking,Failure
2020-04-06 20:37:48,User_7154904,Create,Banking,Success
2020-04-06 20:37:51,User_7154904,Create,Shopping,Generate
2020-04-06 20:37:55,User_7154904,Create,Shopping,Generate
2020-04-06 20:37:57,User_7154904,Create,Shopping,Generate
2020-04-06 20:38:03,User_7154904,Create,Shopping,Failure
2020-04-06 20:38:06,User_7154904,Create,Shopping,Failure
2020-04-06 20:38:20,User_7154904,Create,Shopping,Failure
2020-04-06 20:38:37,User_7154904,Create,Shopping,Success
2020-04-06 20:39:14,User_7154904,Authentication,Banking,Failure
2020-04-06 20:39:29,User_7154904,Authentication,Banking,Failure
2020-04-06 20:39:46,User_7154904,Authentication,Banking,Failure
2020-04-06 20:40:05,User_7154904,Authentication,Email,Failure
2020-04-06 20:40:36,User_7154904,Authentication,Email,Failure
2020-04-06 20:40:46,User_7154904,Authentication,Email,Failure
2020-04-06 20:40:55,User_7154904,Authentication,Shopping,Failure
2020-04-06 20:41:17,User_7154904,Authentication,Shopping,Failure
2020-04-06 20:41:19,User_7154904,Authentication,Shopping,Failure
